state,city,year,population,violent_crime,murder_and_nonnegligent_manslaughter,forcible_rape,robbery,aggravated_assault,non_violent_crime,property_crime,burglary,larceny_theft,motor_vehicle_theft
MN,St. Cloud2,2011,66350,,0,,45,129,5156,2578,431,2040,107
,St. Joseph,2011,77059,281,4,21,82,174,8112,4056,907,2870,279
,Jefferson,2011,,,,,,,0,,,,
,St. Louis,2011,320454,5950,113,188,2127,3522,51338,25669,7015,15285,3369
,St. Charles,2011,66033,153,0,9,48,96,4004,2002,257,1673,72
CA,Stockton,2011,295136,4155,58,90,1323,2684,30926,15463,4133,9651,1679
SC,Sumter,2011,40996,343,3,11,72,257,4706,2353,789,1426,138
NY,Syracuse,2011,145822,1302,11,63,388,840,10550,5275,1705,3261,309
FL,Tallahassee,2011,183848,1661,10,107,511,1033,18726,9363,3252,5748,363
FL,Tampa,2011,340284,2228,28,58,587,1555,20786,10393,2718,7042,633
FL,St. Petersburg,2011,248105,2532,21,90,720,1701,25606,12803,3412,8544,847
FL,Clearwater,2011,109153,801,10,40,182,569,8258,4129,719,3252,158
FL,Largo,2011,78706,373,1,32,101,239,6096,3048,617,2327,104
IN,Terre Haute,2011,61095,152,4,17,91,40,7884,3942,934,2725,283
AR,Texarka,2011,37177,468,3,25,77,363,4954,2477,746,1590,141
AR,Texarka,2011,30145,245,1,10,35,199,4540,2270,525,1623,122
OH,Toledo3,2011,287418,2868,30,124,1152,1562,9831,,8366,,1465
KS,Topeka,2011,128283,698,15,53,235,395,15058,7529,1727,5213,589
NJ,Trenton,2011,85196,1208,23,25,519,641,5140,2570,1138,993,439
NJ,Ewing Township,2011,35909,85,2,7,44,32,1628,814,257,511,46
AZ,Tucson3,2011,527479,3440,51,204,1163,2022,7725,,4979,,2746
OK,Tulsa,2011,396101,3960,49,266,1090,2555,43846,21923,7353,12136,2434
AL,Tuscaloosa1,2011,90903,432,3,39,194,196,8804,4402,1249,2963,190
TX,Tyler,2011,98939,503,3,46,79,375,8882,4441,834,3423,184
NY,Utica,2011,62515,382,4,17,102,259,5002,2501,615,1809,77
NY,Rome,2011,33877,26,1,1,9,15,882,441,109,311,21
GA,Valdosta,2011,55236,268,5,27,102,134,5000,2500,815,1598,87
CA,Vallejo,2011,117305,903,18,53,435,397,10488,5244,2468,1716,1060
CA,Fairfield,2011,106559,425,5,21,148,251,5948,2974,572,2055,347
TX,Victoria,2011,63909,392,2,38,70,282,6498,3249,857,2299,93
,Counties,2011,,,,,,,0,,,,
,Virginia Beach,2011,443226,776,15,60,412,289,24266,12133,2038,9645,450
,Norfolk,2011,245704,1424,29,81,625,689,24516,12258,2256,9217,785
,Newport News,2011,182878,845,15,52,388,390,12082,6041,1094,4592,355
,Hampton,2011,139078,350,9,19,155,167,10546,5273,820,4180,273
,Portsmouth,2011,96676,550,12,46,235,257,10474,5237,1348,3623,266
CA,Visalia,2011,125905,486,8,40,95,343,10242,5121,1110,3466,545
CA,Porterville,2011,54802,226,2,5,58,161,3874,1937,519,1222,196
TX,Waco,2011,127431,766,11,70,245,440,12844,6422,1670,4593,159
